strategy,params,model,LROC,BWT,FWT,distance_metric,dataset
Naive,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.4638181818181818,-0.0208888888888888,0.3728888888888889,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.8374545454545455,0.0993333333333333,0.7931111111111111,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.7518181818181818,0.0204444444444444,0.6128888888888888,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.864909090909091,0.0777777777777777,0.7971111111111112,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7816363636363637,-0.002,0.6782222222222222,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.8887272727272728,-0.0026666666666666,0.9162222222222224,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,AutoEncoder,0.8610909090909091,0.0433333333333333,0.8444444444444444,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.7178181818181819,0.0171111111111111,0.628,Bhattacharyya,Energy C
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.46,-0.0144444444444444,0.3742222222222222,Bhattacharyya,Energy C
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.6245454545454546,0.0717777777777777,0.6533333333333334,Bhattacharyya,Energy R
Cumulative,,IsolationForest(random_state=0),0.71,0.0128888888888888,0.5351111111111112,Bhattacharyya,Energy R
Cumulative,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.6912727272727274,0.0637777777777777,0.6557777777777778,Bhattacharyya,Energy R
Cumulative,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7096363636363636,0.0195555555555555,0.51,Bhattacharyya,Energy R
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.9572727272727272,-0.024,0.9686666666666668,Bhattacharyya,Energy R
Cumulative,,AutoEncoder,0.7063636363636364,0.0435555555555555,0.7155555555555556,Bhattacharyya,Energy R
Cumulative,,OneClassSVM(gamma='auto'),0.6592727272727273,0.0093333333333333,0.6902222222222222,Bhattacharyya,Energy R
Cumulative,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.5107272727272727,-0.008,0.4015555555555555,Bhattacharyya,Energy R
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.6245454545454546,0.0717777777777777,0.6533333333333334,Bhattacharyya,Energy R
Naive,,IsolationForest(random_state=0),0.71,0.0128888888888888,0.5351111111111112,Bhattacharyya,Energy R
Naive,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.6912727272727274,0.0637777777777777,0.6557777777777778,Bhattacharyya,Energy R
Naive,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7096363636363636,0.0195555555555555,0.51,Bhattacharyya,Energy R
Naive,,COPOD(contamination=0.01_n_jobs=1),0.9572727272727272,-0.024,0.9686666666666668,Bhattacharyya,Energy R
Naive,,AutoEncoder,0.7049090909090908,0.0453333333333333,0.7004444444444444,Bhattacharyya,Energy R
Naive,,OneClassSVM(gamma='auto'),0.6592727272727273,0.0093333333333333,0.6902222222222222,Bhattacharyya,Energy R
Naive,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.5107272727272727,-0.008,0.4015555555555555,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.6245454545454546,0.0717777777777777,0.6533333333333334,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.71,0.0128888888888888,0.5351111111111112,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.6912727272727274,0.0637777777777777,0.6557777777777778,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7096363636363636,0.0195555555555555,0.51,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.9572727272727272,-0.024,0.9686666666666668,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,AutoEncoder,0.6983636363636362,0.042,0.7017777777777777,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.6592727272727273,0.0093333333333333,0.6902222222222222,Bhattacharyya,Energy R
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.5107272727272727,-0.008,0.4015555555555555,Bhattacharyya,Energy R
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.9006190476190478,-0.0083684210526315,0.2302631578947369,Bhattacharyya,NSLKDD A
Cumulative,,IsolationForest(random_state=0),0.941952380952381,-0.0298947368421052,0.9061578947368422,Bhattacharyya,NSLKDD A
Cumulative,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.9874761904761906,-0.0063157894736842,0.6165263157894736,Bhattacharyya,NSLKDD A
Cumulative,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.924047619047619,-0.0286842105263157,0.8630000000000001,Bhattacharyya,NSLKDD A
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.920904761904762,0.0399473684210526,0.834421052631579,Bhattacharyya,NSLKDD A
Cumulative,,AutoEncoder,0.9648095238095238,-0.0136842105263157,0.8447368421052631,Bhattacharyya,NSLKDD A
Cumulative,,OneClassSVM(gamma='auto'),0.7205714285714285,-0.0534210526315789,0.6601052631578949,Bhattacharyya,NSLKDD A
Cumulative,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.7260952380952381,-0.0732631578947368,0.6753684210526315,Bhattacharyya,NSLKDD A
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.6925714285714286,-0.3069473684210526,0.6988947368421052,Bhattacharyya,NSLKDD A
Naive,,IsolationForest(random_state=0),0.8393333333333333,-0.1709473684210526,0.7937894736842105,Bhattacharyya,NSLKDD A
Naive,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.7644761904761905,-0.255,0.7581578947368421,Bhattacharyya,NSLKDD A
Naive,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.7864285714285716,-0.2253684210526315,0.7147894736842105,Bhattacharyya,NSLKDD A
Naive,,COPOD(contamination=0.01_n_jobs=1),0.6018095238095238,-0.049,0.5495263157894736,Bhattacharyya,NSLKDD A
Naive,,AutoEncoder,0.8569047619047618,-0.1536842105263157,0.8039999999999999,Bhattacharyya,NSLKDD A
Naive,,OneClassSVM(gamma='auto'),0.8834285714285713,-0.125,0.8661052631578947,Bhattacharyya,NSLKDD A
Naive,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.877095238095238,-0.1184736842105263,0.8203157894736843,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.8801428571428571,-0.0085263157894736,0.2025263157894736,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.9432380952380952,-0.0322631578947368,0.905842105263158,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.9805238095238096,-0.0098947368421052,0.6125263157894737,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.921809523809524,-0.0343684210526315,0.8654736842105263,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.8823333333333334,0.0556315789473684,0.7363157894736841,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,AutoEncoder,0.9506190476190476,-0.0260526315789473,0.8956842105263159,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.7912857142857144,-0.0932631578947368,0.8195263157894738,Bhattacharyya,NSLKDD A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.8457619047619048,-0.0504736842105263,0.8226842105263158,Bhattacharyya,NSLKDD A
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.8799047619047617,-0.0217894736842105,0.3525263157894736,Bhattacharyya,NSLKDD C
Cumulative,,IsolationForest(random_state=0),0.8508095238095238,-0.0800526315789473,0.9124736842105264,Bhattacharyya,NSLKDD C
Cumulative,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.940095238095238,-0.0082105263157894,0.673,Bhattacharyya,NSLKDD C
Cumulative,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.8265714285714285,-0.0858421052631578,0.9224736842105264,Bhattacharyya,NSLKDD C
Cumulative,,COPOD(contamination=0.01_n_jobs=1),0.7886666666666667,0.0159473684210526,0.7751578947368422,Bhattacharyya,NSLKDD C
Cumulative,,AutoEncoder,0.855857142857143,-0.1045263157894737,0.8929473684210527,Bhattacharyya,NSLKDD C
Cumulative,,OneClassSVM(gamma='auto'),0.6710000000000002,-0.1063684210526315,0.6716315789473684,Bhattacharyya,NSLKDD C
Cumulative,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.6724761904761904,-0.1054736842105263,0.6861578947368421,Bhattacharyya,NSLKDD C
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.6438571428571428,-0.3304736842105263,0.7393684210526316,Bhattacharyya,NSLKDD C
Naive,,IsolationForest(random_state=0),0.633904761904762,-0.3073684210526315,0.7598421052631579,Bhattacharyya,NSLKDD C
Naive,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.6104285714285714,-0.3472105263157894,0.7736842105263158,Bhattacharyya,NSLKDD C
Naive,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.6151904761904762,-0.3428421052631579,0.7303684210526314,Bhattacharyya,NSLKDD C
Naive,,COPOD(contamination=0.01_n_jobs=1),0.4421904761904761,-0.0292631578947368,0.2508947368421053,Bhattacharyya,NSLKDD C
